 0.188973E+00   0.519498E-17   0.396020E-17   0.264133E-16   -.193468E-16   -.250599E-16   0.330069E-16   0.840999E-16   0.179434E-16   0.186835E-16   -.273576E-16   0.225095E-17   -.139089E-16   0.663336E-17
 0.200481E+00   0.382230E-16   -.371623E-16   0.127414E-15   -.969228E-16   -.378084E-16   0.989379E-17   0.120220E-15   0.198918E-16   -.143223E-16   -.419771E-17   0.757915E-17   0.150198E-16   -.295391E-16
 0.211989E+00   0.373485E-16   0.619112E-16   0.436011E-16   0.567981E-16   -.629703E-16   -.876157E-16   -.167555E-16   -.624439E-16   -.239282E-16   0.108500E-17   0.391118E-16   0.746846E-16   -.342713E-16
 0.223498E+00   0.245835E-16   -.781181E-16   0.120782E-15   -.926714E-16   -.512794E-16   0.745462E-16   -.119245E-16   0.237921E-15   -.176584E-16   -.251665E-16   -.189226E-16   0.263528E-16   0.755273E-16
 0.235006E+00   -.610856E-16   -.832633E-16   -.460343E-16   -.220307E-15   -.187681E-15   -.572727E-16   0.293872E-16   0.276835E-16   -.298875E-17   0.813770E-16   0.265491E-16   0.119501E-15   0.862561E-16
 0.246514E+00   0.108743E-17   -.176772E-16   -.379818E-16   0.100727E-15   0.456739E-17   -.139759E-15   -.123010E-15   0.610093E-16   -.496676E-16   0.242302E-16   0.117497E-16   0.675200E-16   0.419864E-17
 0.258022E+00   0.378539E-16   0.456638E-16   -.591134E-16   -.443998E-17   0.340278E-16   -.478941E-16   0.718392E-16   -.466150E-16   0.109558E-15   -.137321E-15   0.713931E-16   -.364552E-17   -.611454E-16
 0.269531E+00   0.304962E-16   0.302377E-16   0.340294E-16   -.101595E-15   0.541848E-16   0.173322E-15   0.177594E-15   0.117486E-15   0.935586E-16   -.154155E-15   -.227240E-16   -.367079E-16   -.379510E-16
 0.281039E+00   0.196497E-16   -.428462E-16   -.433076E-16   -.113002E-16   -.650900E-17   -.120548E-15   0.231464E-16   0.310366E-16   -.809439E-16   0.952997E-17   0.218858E-17   0.369053E-16   -.194120E-16
 0.292547E+00   -.195393E-16   0.102305E-16   -.337040E-16   0.303234E-16   -.260370E-16   -.938888E-16   -.177521E-16   -.276762E-16   -.287033E-16   0.977165E-16   -.926124E-17   -.937117E-17   -.299586E-16
 0.304056E+00   -.104312E-16   -.133576E-16   -.724570E-16   -.167945E-15   -.273466E-16   -.604056E-17   -.113099E-15   0.156114E-16   -.195189E-16   0.597878E-16   -.624652E-16   -.334123E-16   -.233409E-16
 0.315564E+00   0.141944E-16   0.201757E-16   -.622073E-16   -.108000E-15   -.354733E-16   0.357938E-16   -.140460E-17   0.414099E-16   -.103774E-15   0.113777E-16   0.194548E-16   0.327652E-17   0.318325E-17
